
result: name0001 ---> mIoU=68.4589%, MSE=0.0295, mAcc=0.5484%, time=0.0190s
result: name0002 ---> mIoU=84.9493%, MSE=0.0200, mAcc=0.5590%, time=0.0150s
result: name0003 ---> mIoU=65.4540%, MSE=0.0065, mAcc=0.3436%, time=0.0060s
result: name0004 ---> mIoU=89.6794%, MSE=0.0175, mAcc=0.6248%, time=0.0070s
result: name0005 ---> mIoU=54.4854%, MSE=0.0228, mAcc=0.2433%, time=0.0070s
result: name0006 ---> mIoU=78.4262%, MSE=0.0040, mAcc=0.3729%, time=0.0060s
result: name0007 ---> mIoU=88.5630%, MSE=0.0125, mAcc=0.3750%, time=0.0070s
result: name0008 ---> mIoU=81.7745%, MSE=0.0149, mAcc=0.5048%, time=0.0070s
result: name0009 ---> mIoU=78.4979%, MSE=0.0121, mAcc=0.3722%, time=0.0060s
result: name0010 ---> mIoU=78.5818%, MSE=0.0081, mAcc=0.3245%, time=0.0060s
result: name0011 ---> mIoU=22.9347%, MSE=0.1030, mAcc=0.2896%, time=0.0070s
result: name0012 ---> mIoU=89.6706%, MSE=0.0385, mAcc=0.6389%, time=0.0070s
result: name0013 ---> mIoU=66.7462%, MSE=0.0084, mAcc=0.2159%, time=0.0060s
result: name0014 ---> mIoU=77.7479%, MSE=0.0101, mAcc=0.2956%, time=0.0060s
result: name0015 ---> mIoU=78.3900%, MSE=0.0291, mAcc=0.5199%, time=0.0060s
result: name0016 ---> mIoU=87.5467%, MSE=0.0078, mAcc=0.3886%, time=0.0070s
result: name0017 ---> mIoU=48.5822%, MSE=0.0110, mAcc=0.2526%, time=0.0060s
result: name0018 ---> mIoU=84.7951%, MSE=0.0030, mAcc=0.3867%, time=0.0060s
result: name0019 ---> mIoU=90.8253%, MSE=0.0051, mAcc=0.3858%, time=0.0070s
result: name0020 ---> mIoU=82.1100%, MSE=0.0046, mAcc=0.2519%, time=0.0070s
result: name0021 ---> mIoU=77.8164%, MSE=0.0108, mAcc=0.3284%, time=0.0070s
result: name0022 ---> mIoU=73.3734%, MSE=0.0129, mAcc=0.4864%, time=0.0070s
result: name0023 ---> mIoU=77.1954%, MSE=0.0034, mAcc=0.2861%, time=0.0070s
result: name0024 ---> mIoU=84.1443%, MSE=0.0229, mAcc=0.2492%, time=0.0060s
result: name0025 ---> mIoU=89.9371%, MSE=0.0083, mAcc=0.3421%, time=0.0070s
result: name0026 ---> mIoU=87.8531%, MSE=0.0103, mAcc=0.4103%, time=0.0060s
